frame,timestamp,hip_angle,knee_angle,elbow_angle
464,15.43,161.8765,170.3745,179.6692
465,15.4633,152.057,158.0238,179.8843
466,15.4966,141.7417,148.0315,179.1623
467,15.5299,123.0263,125.2015,177.5571
468,15.5633,114.1366,115.0942,177.7036
469,15.5966,102.1068,101.1461,178.7431
470,15.6299,90.6151,91.2517,179.331
471,15.6633,80.8611,80.6226,178.2214
472,15.6966,70.6476,74.6846,178.5966
473,15.7299,62.4471,67.2274,177.3864
474,15.7632,54.7875,62.7509,177.7449
475,15.7966,46.7075,54.1236,176.7297
476,15.8299,40.1147,49.6386,176.9212
477,15.8632,34.6257,43.8746,167.1673
478,15.8965,32.2841,40.9378,175.9149
479,15.9299,29.8406,36.5946,172.6069
480,15.9632,27.1122,34.5875,173.3834
481,15.9965,27.99,35.0025,173.8417
482,16.0298,28.5155,36.3891,173.9977
483,16.0632,30.3416,38.7624,175.2051
484,16.0965,31.0794,40.2744,176.7807
485,16.1298,31.0166,45.7977,175.8625
486,16.1631,33.8971,52.6214,177.4945
487,16.1965,37.947,60.642,174.5849
488,16.2298,41.6046,67.1845,175.7618
489,16.2631,44.815,73.1454,175.1847
490,16.2964,48.5267,76.7197,175.6665
491,16.3298,52.1534,81.4476,175.9728
492,16.3631,58.7866,92.9591,177.7916
494,16.4298,72.756,104.8701,176.4034
495,16.4631,73.096,106.5374,178.0612
496,16.4964,81.1072,115.7352,179.112
497,16.5297,92.0332,120.3983,178.0307
498,16.5631,105.8184,131.4118,177.3202
499,16.5964,120.3163,145.3021,178.6808
500,16.6297,129.3066,151.1903,179.4257
501,16.663,140.1283,159.4671,179.9605
502,16.6964,144.8251,162.6819,179.5607
503,16.7297,149.2382,168.4224,179.0061
504,16.763,154.7279,173.4451,178.9179
505,16.7963,160.6125,178.1781,179.7204
506,16.8297,160.5458,176.9897,178.9857
507,16.863,161.6121,177.0239,179.3147
508,16.8963,160.3633,175.561,178.6949
509,16.9296,160.1581,175.226,178.9497
510,16.963,160.5467,174.434,178.7826
511,16.9963,159.1022,171.8908,178.7652
512,17.0296,153.298,164.3766,178.3513
513,17.0629,145.258,151.269,178.3053
514,17.0963,137.3895,142.0236,179.1967
515,17.1296,127.494,129.8122,179.7013
516,17.1629,118.895,121.5319,179.8314
517,17.1963,111.5048,113.2872,179.0481
518,17.2296,103.2917,104.8702,178.7711
519,17.2629,94.7194,96.54,178.5035
520,17.2962,84.9434,84.8664,177.433
521,17.3296,75.9299,73.8331,177.7545
522,17.3629,66.5819,64.7734,179.6419
523,17.3962,56.9954,59.9014,178.0358
524,17.4295,52.7006,55.0731,177.8813
525,17.4629,46.2892,48.9242,178.8224
527,17.5295,51.4466,30.3743,176.6991
528,17.5628,44.5694,32.4313,176.261
529,17.5962,37.5958,33.8628,171.8602
530,17.6295,31.9563,33.2548,168.442
531,17.6628,29.9217,34.8172,168.0137
532,17.6961,28.0166,37.8388,169.867
